date,deal_type,target,acquirer,title,url
2022-09-05,acquisition,stake in Apraava Energy Private Limited,CDPQ Infrastructures Asia II Pte,CCI approves acquisition of stake in Apraava Energy Private Limited by CDPQ Infrastructures Asia II Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=1856889
2022-08-30,acquisition,shares in Olam Agri Holdings Pte. Ltd.,SALIC International Investment Company,CCI approves acquisition of shares in Olam Agri Holdings Pte. Ltd. by SALIC International Investment Company,https://pib.gov.in/PressReleasePage.aspx?PRID=1855576
2022-08-18,acquisition,the stake in Simpolo Vitrified Private Limited,India Business Excellence Fund IV,"CCI approves acquisition of the stake in Simpolo Vitrified Private Limited by India Business Excellence Fund IV, India SME Investments Fund – I, Motilal Oswal Finvest Limited and others",https://pib.gov.in/PressReleasePage.aspx?PRID=1852951
2022-08-13,acquisition,stake in IIFL Home indirectly,ADIA Group,CCI approves acquisition of stake in IIFL Home indirectly by ADIA Group,https://pib.gov.in/PressReleasePage.aspx?PRID=1851601
2022-08-13,acquisition,"the stake in Holderind Investments Limited, Ambuja Cements Limited and ACC Limited",Endeavour Trade and Investment Limited,"CCI approves acquisition of the stake in Holderind Investments Limited, Ambuja Cements Limited and ACC Limited by Endeavour Trade and Investment Limited",https://pib.gov.in/PressReleasePage.aspx?PRID=1851603
2022-08-02,acquisition,stake in IDFC Asset Management Company Limited and IDFC AMC Trustee Company Limited,Bandhan Financial Holdings Limited,"CCI approves acquisition of stake in IDFC Asset Management Company Limited and IDFC AMC Trustee Company Limited by Bandhan Financial Holdings Limited, ChrysCapital and GIC",https://pib.gov.in/PressReleasePage.aspx?PRID=1847454
2022-07-26,acquisition,"Citibank, N.A.’s and Citicorp Finance (India) Limited’s (Citicorp) undertakings comprising of their consumer banking activities",Axis Bank,"CCI approves acquisition of Citibank, N.A.’s and Citicorp Finance (India) Limited’s (Citicorp) undertakings comprising of their consumer banking activities by Axis Bank",https://pib.gov.in/PressReleasePage.aspx?PRID=1845017
2022-07-26,acquisition,stake in Tata Power Renewable Energy Limited,Greenforest New Energies Bidco Limited,CCI approves acquisition of stake in Tata Power Renewable Energy Limited by Greenforest New Energies Bidco Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1845019
2022-07-15,acquisition,Ageas Federal Life Insurance Company Limited,Ageas Insurance International NV,CCI approves acquisition of Ageas Federal Life Insurance Company Limited by Ageas Insurance International NV,https://pib.gov.in/PressReleasePage.aspx?PRID=1841818
2022-07-12,acquisition,Solenergi Power Private Limited,Shell Overseas Investments B,CCI approves acquisition of Solenergi Power Private Limited by Shell Overseas Investments B.V.’s from Actis Solenergi Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1840875
