state,sector,status_bucket,count
MADHYA PRADESH,Industrial Projects - 3,granted,24
MADHYA PRADESH,Industrial Projects - 3,in_process,12
MADHYA PRADESH,Industrial Projects - 3,tor_granted,31
MADHYA PRADESH,Non-Coal Mining,dead,2339
MADHYA PRADESH,Non-Coal Mining,granted,2389
MADHYA PRADESH,Non-Coal Mining,in_process,1134
MADHYA PRADESH,Non-Coal Mining,tor_granted,2077
MADHYA PRADESH,None,in_process,43
MADHYA PRADESH,River Valley and Hydroelectric Projects,dead,7
MADHYA PRADESH,River Valley and Hydroelectric Projects,granted,21
MADHYA PRADESH,River Valley and Hydroelectric Projects,in_process,16
MADHYA PRADESH,River Valley and Hydroelectric Projects,tor_granted,48
MADHYA PRADESH,Thermal Projects,dead,8
MADHYA PRADESH,Thermal Projects,granted,12
MADHYA PRADESH,Thermal Projects,in_process,3
MADHYA PRADESH,Thermal Projects,tor_granted,5
MAHARASHTRA,Coal Mining,dead,25
MAHARASHTRA,Coal Mining,granted,35
MAHARASHTRA,Coal Mining,in_process,12
MAHARASHTRA,Coal Mining,tor_granted,18
MAHARASHTRA,INFRA-1,dead,29
MAHARASHTRA,INFRA-1,granted,26
MAHARASHTRA,INFRA-1,in_process,7
MAHARASHTRA,INFRA-1,tor_granted,36
MAHARASHTRA,INFRA-2,dead,1567
MAHARASHTRA,INFRA-2,granted,3603
MAHARASHTRA,INFRA-2,in_process,747
MAHARASHTRA,INFRA-2,tor_granted,1163
MAHARASHTRA,Industrial Projects - 1,dead,59
MAHARASHTRA,Industrial Projects - 1,granted,60
MAHARASHTRA,Industrial Projects - 1,in_process,28
MAHARASHTRA,Industrial Projects - 1,tor_granted,112
MAHARASHTRA,Industrial Projects - 2,dead,95
MAHARASHTRA,Industrial Projects - 2,granted,121
MAHARASHTRA,Industrial Projects - 2,in_process,19
MAHARASHTRA,Industrial Projects - 2,tor_granted,106
MAHARASHTRA,Industrial Projects - 3,dead,133
MAHARASHTRA,Industrial Projects - 3,granted,209
MAHARASHTRA,Industrial Projects - 3,in_process,33
MAHARASHTRA,Industrial Projects - 3,tor_granted,301
MAHARASHTRA,Non-Coal Mining,dead,634
MAHARASHTRA,Non-Coal Mining,granted,3829
MAHARASHTRA,Non-Coal Mining,in_process,152
MAHARASHTRA,Non-Coal Mining,tor_granted,73
MAHARASHTRA,None,dead,2
MAHARASHTRA,None,in_process,169
MAHARASHTRA,River Valley and Hydroelectric Projects,dead,16
MAHARASHTRA,River Valley and Hydroelectric Projects,granted,16
MAHARASHTRA,River Valley and Hydroelectric Projects,in_process,16
MAHARASHTRA,River Valley and Hydroelectric Projects,tor_granted,41
MAHARASHTRA,Thermal Projects,dead,6
MAHARASHTRA,Thermal Projects,granted,8
MAHARASHTRA,Thermal Projects,in_process,3
MAHARASHTRA,Thermal Projects,tor_granted,2
MANIPUR,INFRA-2,granted,1
MANIPUR,Non-Coal Mining,dead,2
MANIPUR,Non-Coal Mining,granted,2
MEGHALAYA,Coal Mining,dead,1
MEGHALAYA,Coal Mining,granted,3
