date,deal_type,role,company_name,title,url
2025-12-16,acquisition,acquirer,Japan Post Co,"CCI approves acquisition of certain equity stake in Logisteed Holdings, Ltd. (Target) by Japan Post Co., Ltd. (Acquirer)",https://pib.gov.in/PressReleasePage.aspx?PRID=2204822
2025-12-09,acquisition,target,Sammaan Capital Limited (SCL/Target),CCI approves the acquisition of certain shareholding of Sammaan Capital Limited (SCL/Target) by Avenir Investment RSC Ltd. (Avenir/Acquirer),https://pib.gov.in/PressReleasePage.aspx?PRID=2201086
2025-12-09,acquisition,acquirer,Avenir Investment RSC Ltd,CCI approves the acquisition of certain shareholding of Sammaan Capital Limited (SCL/Target) by Avenir Investment RSC Ltd. (Avenir/Acquirer),https://pib.gov.in/PressReleasePage.aspx?PRID=2201086
2025-11-25,acquisition,target,Jhajjar Power Limited,CCI approves the proposed acquisition of 100% shareholding of Jhajjar Power Limited by Jindal Jhajjar Power Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2194257
2025-11-25,acquisition,acquirer,Jindal Jhajjar Power Limited,CCI approves the proposed acquisition of 100% shareholding of Jhajjar Power Limited by Jindal Jhajjar Power Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2194257
2025-11-25,acquisition,target,Toyota Industries Corporation,"CCI approves acquisition of Toyota Industries Corporation by Toyota Asset Preparatory Co., Ltd.",https://pib.gov.in/PressReleasePage.aspx?PRID=2194258
2025-11-25,acquisition,acquirer,Toyota Asset Preparatory Co,"CCI approves acquisition of Toyota Industries Corporation by Toyota Asset Preparatory Co., Ltd.",https://pib.gov.in/PressReleasePage.aspx?PRID=2194258
2025-11-11,acquisition,target,11% to 20% of shareholding of the AWL Agri Business Limited,CCI approves proposed acquisition of 11% to 20% of shareholding of the AWL Agri Business Limited by Lence Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2188938
2025-11-11,acquisition,acquirer,Lence Pte,CCI approves proposed acquisition of 11% to 20% of shareholding of the AWL Agri Business Limited by Lence Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2188938
2025-11-07,acquisition,target,Aadhar Housing Finance Ltd.,CCI approves the proposed acquisition of up to 80.15% shareholding of Aadhar Housing Finance Ltd. by BCP Asia II Holdco VII Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2187554
